"","fips","vmax_sust","vmax_gust","sust_dur","gust_dur","flood_exposure","storm_dist"
"1","01001",16.4683630553182,24.5378609524242,0,435,FALSE,216.355184387529
"2","01003",15.9740637985426,23.8013550598285,0,615,FALSE,218.24254579676
"3","01005",29.2425238091322,43.571360475607,510,795,FALSE,83.6025420074838
"4","01007",11.4955865416275,17.1284239470249,0,0,FALSE,299.305403272443
"5","01009",9.55494725618458,14.236871411715,0,0,FALSE,323.283444033339
"6","01011",23.6175401511704,35.1901348252439,345,705,FALSE,131.325995742405
"7","01013",19.1957324423545,28.6016413391082,0,585,FALSE,184.005858784972
"8","01015",12.099233371616,18.0278577237078,0,0,FALSE,251.62783399861
"9","01017",18.8060253092114,28.0209777107249,0,630,FALSE,151.183209145216
"10","01019",10.5067752914123,15.6550951842044,0,0,FALSE,270.328027192982
"11","01021",13.7461729873784,20.4817977511939,0,135,FALSE,256.420252566763
"12","01023",9.6416706380077,14.3660892506315,0,0,FALSE,331.729395557908
"13","01025",12.1500353159397,18.1035526207502,0,0,FALSE,277.764883644451
"14","01027",14.5290840054691,21.6483351681489,0,330,FALSE,220.131249599934
"15","01029",13.2386319653621,19.7255616283896,0,0,FALSE,221.590050693665
"16","01031",28.9711321922694,43.1669869664813,465,930,FALSE,99.2196702955652
"17","01033",5.66934734217173,8.44732753983588,0,0,FALSE,455.067592213201
"18","01035",17.9685748938878,26.7731765918929,0,615,FALSE,194.812201934193
"19","01037",15.2437544955516,22.7131941983719,0,375,FALSE,224.175252822517
"20","01039",23.7579414839178,35.3993328110374,330,885,FALSE,138.111610911576
"21","01041",22.1406740613647,32.9896043514335,270,675,FALSE,153.220142551238
"22","01043",8.40551476247219,12.5242169960836,0,0,FALSE,354.965744576056
"23","01045",31.9845235915919,47.6569401514719,525,930,FALSE,79.2830484211188
"24","01047",14.1897766031281,21.1427671386609,0,210,FALSE,251.724197135947
"25","01049",9.18590940221419,13.6870050092991,0,0,FALSE,303.376610146181
"26","01051",17.4397058111461,25.9851616586077,0,495,FALSE,200.59395486621
"27","01053",16.6372585192161,24.7895151936319,0,720,FALSE,204.67649417613
"28","01055",10.4572422316642,15.5812909251796,0,0,FALSE,286.618728775928
"29","01057",7.67724104862946,11.4390891624579,0,0,FALSE,393.887703800567
"30","01059",6.02089166959243,8.97112858769273,0,0,FALSE,445.116353654327
"31","01061",33.2063474205382,49.4774576566019,540,1020,FALSE,75.8132900880121
"32","01063",9.36424845861256,13.9527302033327,0,0,FALSE,347.123588708484
"33","01065",10.5175545243782,15.6711562413235,0,0,FALSE,320.458462577121
"34","01067",35.8363862138258,53.3962154586004,570,885,FALSE,55.7241193833714
"35","01069",39.5290382094187,58.8982669320338,570,990,FALSE,48.6233076730647
"36","01071",8.1152169034871,12.0916731861958,0,0,FALSE,331.895613260055
"37","01073",10.6563873310159,15.8780171232137,0,0,FALSE,309.665365314513
"38","01075",6.87073543539568,10.2373957987396,0,0,FALSE,421.229884177022
"39","01077",5.5030162312454,8.19949418455565,0,0,FALSE,459.307501145397
"40","01079",6.65091848224733,9.90986853854852,0,0,FALSE,412.977516236594
"41","01081",20.9082154901148,31.153241080271,210,675,FALSE,138.074208179881
"42","01083",6.51139388479325,9.70197688834195,0,0,FALSE,407.936560136786
"43","01085",17.5411661832568,26.1363376130527,0,480,FALSE,203.942249377149
"44","01087",20.8469131051306,31.0619005266447,165,630,FALSE,153.879033138723
"45","01089",7.13624306764796,10.6330021707955,0,0,FALSE,380.016675121457
"46","01091",10.9229235454339,16.2751560826966,0,0,FALSE,309.250551350865
"47","01093",6.60456156906448,9.84079673790607,0,0,FALSE,427.532969843536
"48","01095",8.90213829513529,13.2641860597516,0,0,FALSE,326.702072600312
"49","01097",13.3292731403629,19.8606169791407,0,0,FALSE,257.299789794666
"50","01099",15.1385753057773,22.5564772056082,0,345,FALSE,230.209698188469
"51","01101",18.6774404799391,27.8293863151092,0,540,FALSE,187.263582800543
"52","01103",7.25824104989921,10.8147791643498,0,0,FALSE,386.363359324295
"53","01105",12.079288113151,17.9981392885949,0,0,FALSE,288.454347413704
"54","01107",7.9392525635297,11.8294863196593,0,0,FALSE,386.898006630533
"55","01109",24.7280145678492,36.8447417060953,375,735,FALSE,128.182358682549
"56","01111",15.5428281655123,23.1588139666133,0,465,FALSE,190.591548738578
"57","01113",23.3699070325783,34.8211614785417,405,750,FALSE,105.807376466555
"58","01115",11.203529850747,16.6932594776131,0,0,FALSE,286.870841879191
"59","01117",11.7729530518256,17.5417000472202,0,0,FALSE,288.502110431975
"60","01119",8.86616657636672,13.2105881987864,0,0,FALSE,357.343496686721
"61","01121",13.0550435952877,19.4520149569787,0,0,FALSE,252.423388230164
"62","01123",17.043834731756,25.3953137503164,0,510,FALSE,194.400493596869
"63","01125",9.65089287775317,14.3798303878522,0,0,FALSE,340.746607366054
"64","01127",8.53829992452838,12.7220668875473,0,0,FALSE,363.348910003143
"65","01129",10.6767300224053,15.9083277333839,0,0,FALSE,297.877529936286
"66","01131",13.7597849921861,20.5020796383573,0,150,FALSE,256.297359916531
"67","01133",7.31908377146932,10.9054348194893,0,0,FALSE,397.481743491588
"68","05001",1.99377626040916,2.97072662800965,0,0,FALSE,718.426661748733
"69","05003",2.11371144349938,3.14943005081408,0,0,FALSE,693.560546564347
"70","05005",1.01518428042873,1.5126245778388,0,0,FALSE,904.173901130525
"71","05007",0.708311191666944,1.05538367558375,0,0,FALSE,1043.64386918436
"72","05009",0.853100406768609,1.27111960608523,0,0,FALSE,953.30834479997
