"","fips","vmax_sust","vmax_gust","sust_dur","gust_dur","flood_exposure","storm_dist"
"1","01001",4.59905091115306,6.85258585761806,0,0,FALSE,543.709980240366
"2","01003",11.3371326560992,16.8923276575878,0,0,TRUE,306.791354791981
"3","01005",4.16713282905741,6.20902791529554,0,0,FALSE,563.935478178775
"4","01007",4.65647389898515,6.93814610948787,0,0,FALSE,540.735290092993
"5","01009",3.18477933385675,4.74532120744656,0,0,FALSE,575.93093546676
"6","01011",4.1655402761369,6.20665501144398,0,0,FALSE,564.378162842296
"7","01013",5.84675577452992,8.71166610404959,0,0,FALSE,478.869137700427
"8","01015",2.71523758724699,4.04570400499802,0,0,FALSE,650.444294799835
"9","01017",3.02101751206817,4.50131609298157,0,0,FALSE,654.436865785381
"10","01019",2.36360127637408,3.52176590179738,0,0,FALSE,640.000614663928
"11","01021",4.32890463159099,6.45006790107058,0,0,FALSE,558.595414197046
"12","01023",8.62373514420331,12.8493653648629,0,0,FALSE,385.739678509013
"13","01025",8.39718103594066,12.5117997435516,0,0,FALSE,390.603408986305
"14","01027",3.10958594643653,4.63328306019042,0,0,FALSE,647.768922581552
"15","01029",2.59151946371106,3.86136400092948,0,0,FALSE,681.807127617962
"16","01031",5.61497994270052,8.36632011462378,0,0,FALSE,486.229896085495
"17","01033",3.43918261048157,5.12438208961754,0,0,FALSE,446.236092387222
"18","01035",7.05377072442662,10.5101183793957,0,0,FALSE,427.825641123747
"19","01037",3.67980892867897,5.48291530373167,0,0,FALSE,602.534087963416
"20","01039",6.46554304076295,9.63365913073679,0,0,FALSE,450.108254654921
"21","01041",5.39086259433836,8.03238526556416,0,0,FALSE,497.079946817612
"22","01043",3.23364116499019,4.81812533583539,0,0,FALSE,545.224188128249
"23","01045",5.22787198452477,7.7895292569419,0,0,FALSE,504.495165402327
"24","01047",5.45183858822157,8.12323949645013,0,0,FALSE,499.226516151537
"25","01049",2.34879371443521,3.49970263450846,0,0,FALSE,609.520322803602
"26","01051",4.21938593748306,6.28688504684976,0,0,FALSE,567.084951150703
"27","01053",8.41839678177225,12.5434112048407,0,0,FALSE,382.249379920695
"28","01055",2.69459010007049,4.01493924910504,0,0,FALSE,617.815901266042
"29","01057",4.60282003114656,6.85820184640837,0,0,FALSE,495.222482354179
"30","01059",3.79203622971263,5.65013398227182,0,0,FALSE,451.985782246612
"31","01061",5.94799094804496,8.86250651258698,0,0,FALSE,470.795647549452
"32","01063",6.11317328378824,9.10862819284447,0,0,FALSE,470.896974360465
"33","01065",5.73959673762586,8.55199913906253,0,0,FALSE,487.541357201477
"34","01067",4.6382866714179,6.91104714041267,0,0,FALSE,535.210218887816
"35","01069",5.21222042617939,7.76620843500729,0,0,FALSE,504.462136149582
"36","01071",2.4573240432553,3.66141282445039,0,0,FALSE,584.203185076112
"37","01073",3.74735066116863,5.58355248514126,0,0,FALSE,582.921339281869
"38","01075",4.96322458368456,7.39520462968999,0,0,FALSE,466.335831504466
"39","01077",3.24949678501482,4.84175020967208,0,0,FALSE,444.516552705165
"40","01079",3.28067636824075,4.88820778867872,0,0,FALSE,488.978673085751
"41","01081",3.3047309081721,4.92404905317642,0,0,FALSE,626.157662954696
"42","01083",2.88088899137766,4.29252459715271,0,0,FALSE,500.532490862257
"43","01085",5.22467578979843,7.78476692679965,0,0,FALSE,510.401241761844
"44","01087",3.81055174900788,5.67772210602174,0,0,FALSE,590.512884610039
"45","01089",2.71720704866992,4.04863850251818,0,0,FALSE,530.186460938207
"46","01091",6.88087913431578,10.2525099101305,0,0,FALSE,442.088588228661
"47","01093",4.25432916858289,6.33895046118851,0,0,FALSE,464.981782234014
"48","01095",2.71417021661831,4.04411362276128,0,0,FALSE,579.81222478644
"49","01097",12.372575590896,18.435137630435,0,0,TRUE,292.356273874374
"50","01099",7.69063916975951,11.4590523629417,0,0,FALSE,409.790393460435
"51","01101",4.49437652607352,6.69662102384954,0,0,FALSE,550.581557431665
"52","01103",3.04255875224903,4.53341254085105,0,0,FALSE,517.824457548511
"53","01105",5.69004936953497,8.47817356060711,0,0,FALSE,489.736191909561
"54","01107",5.58969847870466,8.32865073326994,0,0,FALSE,491.315735666974
"55","01109",4.91295279609638,7.3202996661836,0,0,FALSE,521.246054496978
"56","01111",2.8340144281804,4.22268149798879,0,0,FALSE,674.159479314881
"57","01113",3.26842077100612,4.86994694879912,0,0,FALSE,628.383760538986
"58","01115",3.19891531991927,4.76638382667971,0,0,FALSE,610.290522661252
"59","01117",3.88716918511633,5.79188208582333,0,0,FALSE,586.895238384094
"60","01119",7.16886998721346,10.6816162809481,0,0,FALSE,430.48882893897
"61","01121",3.27773631724288,4.8838271126919,0,0,FALSE,631.416861996415
"62","01123",3.54224892008314,5.27795089092388,0,0,FALSE,613.967515051807
"63","01125",4.92388648563057,7.33659086358955,0,0,FALSE,526.800837553305
"64","01127",3.91289538600179,5.83021412514267,0,0,FALSE,529.938873958353
"65","01129",10.145464696256,15.1167423974214,0,0,TRUE,344.070166210955
"66","01131",6.76048175534869,10.0731178154695,0,0,FALSE,444.493084826575
"67","01133",3.75018131482223,5.58777015908512,0,0,FALSE,498.574469367263
"68","05001",7.07989292502967,10.5490404582942,0,0,TRUE,167.917944761361
"69","05003",11.6690720255837,17.3869173181197,0,0,TRUE,187.792682158527
"70","05005",7.98073054405006,11.8912885106346,0,0,FALSE,13.5586000792582
"71","05007",5.19013862717307,7.73330655448787,0,0,FALSE,159.46235413158
"72","05009",6.81136772257414,10.1489379066355,0,0,FALSE,67.0076826752033
