"","fips","vmax_sust","vmax_gust","sust_dur","gust_dur","flood_exposure","storm_dist"
"1","01001",12.2713411711785,18.284298345056,0,0,FALSE,236.525920272528
"2","01003",20.9700101680006,31.2453151503209,210,840,TRUE,177.450035738009
"3","01005",8.35251016435984,12.4452401448962,0,0,FALSE,365.246067123782
"4","01007",15.1862278747471,22.6274795333732,0,495,FALSE,162.965670947041
"5","01009",12.4543518679968,18.5569842833152,0,0,FALSE,182.796255342714
"6","01011",9.51823307799218,14.1821672862084,0,0,FALSE,320.589234461865
"7","01013",13.2120561041139,19.6859635951296,0,0,TRUE,248.070831413779
"8","01015",9.8563699562558,14.6859912348211,0,0,FALSE,258.611910525339
"9","01017",8.36463312654587,12.4633033585534,0,0,FALSE,335.408633431198
"10","01019",9.15117416057124,13.6352494992511,0,0,FALSE,259.420152029401
"11","01021",13.1363492464016,19.5731603771384,0,0,FALSE,207.232611012009
"12","01023",23.3010914340853,34.7186262367871,420,885,TRUE,95.9370360253241
"13","01025",20.0367003832967,29.8546835711121,45,810,TRUE,148.551793156678
"14","01027",9.94597985457946,14.8195099833234,0,0,FALSE,272.936611400512
"15","01029",8.93980808109182,13.3203140408268,0,0,FALSE,290.539617589506
"16","01031",10.1174269497125,15.0749661550716,0,0,FALSE,331.090299654854
"17","01033",17.4073749842026,25.9369887264619,0,435,FALSE,61.2425624509132
"18","01035",14.9536607997873,22.280954591683,0,480,TRUE,231.757974240373
"19","01037",11.0692901459056,16.4932423173993,0,0,FALSE,252.036146081048
"20","01039",12.0914162688672,18.0162102406122,0,0,FALSE,289.166761862313
"21","01041",11.6753776572839,17.396312709353,0,0,FALSE,280.893687525555
"22","01043",13.345839873116,19.8853014109429,0,0,FALSE,154.844799622704
"23","01045",9.23974570434236,13.7672210994701,0,0,FALSE,353.265949947121
"24","01047",14.6775982284341,21.8696213603667,0,510,FALSE,191.041199461329
"25","01049",9.56751629628746,14.2555992814683,0,0,FALSE,232.514192297878
"26","01051",11.2705005142133,16.7930457661778,0,0,FALSE,258.727337236168
"27","01053",16.81331685578,25.0518421151123,0,630,TRUE,218.029812687566
"28","01055",10.3997047583917,15.4955600900036,0,0,FALSE,230.765161297513
"29","01057",18.5929619428869,27.7035132949015,0,615,FALSE,84.869528922063
"30","01059",18.3443577623361,27.3330930658807,0,480,FALSE,60.4965596405136
"31","01061",9.62250193540066,14.337527883747,0,0,FALSE,351.979022266577
"32","01063",19.9889747653053,29.7835724003049,0,810,FALSE,97.5587803535356
"33","01065",17.9986165922915,26.8179387225143,0,735,FALSE,126.01632501464
"34","01067",8.16100366364857,12.1598954588364,0,0,FALSE,382.60461866235
"35","01069",8.41006081576697,12.5309906154928,0,0,FALSE,382.669419734779
"36","01071",9.78018965420963,14.5724825847723,0,0,FALSE,210.585110306846
"37","01073",13.5841261947461,20.2403480301716,0,135,FALSE,176.493282978824
"38","01075",20.6542701300632,30.7748624937942,120,690,FALSE,53.5127946702687
"39","01077",16.8829056258847,25.1555293825682,0,405,FALSE,62.6527115793587
"40","01079",15.1989374029595,22.6464167304097,0,345,FALSE,103.382747755813
"41","01081",8.53176604690904,12.7123314098945,0,0,FALSE,336.906391341675
"42","01083",13.3930741833789,19.9556805332346,0,0,FALSE,122.176305386314
"43","01085",12.9395244275965,19.2798913971188,0,0,FALSE,236.824376864677
"44","01087",9.5412949115826,14.2165294182581,0,0,FALSE,308.964510353165
"45","01089",12.0738140470913,17.9899829301661,0,0,FALSE,152.752881942618
"46","01091",19.1355155910352,28.5119182306424,0,795,FALSE,124.978031906968
"47","01093",18.9172888095852,28.1867603262819,0,555,FALSE,64.2859862612521
"48","01095",11.1558964882268,16.6222857674579,0,0,FALSE,196.828746444496
"49","01097",24.7383661572788,36.8601655743453,450,930,TRUE,138.403840629904
"50","01099",17.0548690262617,25.4117548491299,0,675,TRUE,195.93435330638
"51","01101",11.3254755702794,16.8749585997163,0,0,FALSE,264.095957234395
"52","01103",13.566198176508,20.213635282997,0,105,FALSE,134.153846762214
"53","01105",16.4298017413019,24.4804045945398,0,660,FALSE,155.351914990532
"54","01107",20.7908217838882,30.9783244579934,150,780,FALSE,70.8061571573297
"55","01109",10.359811333813,15.4361188873813,0,0,FALSE,310.282414507708
"56","01111",8.80313187434206,13.1166664927697,0,0,FALSE,308.527240196482
"57","01113",7.7708207659848,11.5785229413174,0,0,FALSE,367.708741565248
"58","01115",11.7244007965828,17.4693571869084,0,0,FALSE,211.88403125765
"59","01117",13.3134102261839,19.836981237014,0,0,FALSE,190.177276448666
"60","01119",22.1267623300007,32.968875871701,330,855,FALSE,78.2353242670546
"61","01121",11.0823226584312,16.5126607610624,0,0,FALSE,238.66070935898
"62","01123",10.0893890257771,15.0331896484078,0,0,FALSE,281.92954308167
"63","01125",17.3231234632014,25.8114539601701,0,660,TRUE,122.246630535299
"64","01127",15.5636656083232,23.1898617564015,0,435,FALSE,127.773508240195
"65","01129",23.3253306847682,34.7547427203046,435,900,TRUE,125.309194143196
"66","01131",16.9239344944497,25.2166623967301,0,690,TRUE,174.874749545729
"67","01133",16.2362773727407,24.1920532853837,0,450,FALSE,103.267620686705
"68","05001",8.49220067898151,12.6533790116825,0,0,FALSE,263.92672856134
"69","05003",10.9422247538996,16.3039148833104,0,0,FALSE,266.289264691155
"70","05005",4.07410828401715,6.07042134318555,0,0,FALSE,399.209735166886
"71","05007",2.52202408027558,3.75781587961061,0,0,FALSE,558.758988593617
"72","05009",3.47178678009412,5.17296230234024,0,0,FALSE,458.731630025863
